Country/Region,Date,all_cases
Japan,2020-01-22,0
Japan,2020-01-23,0
Japan,2020-01-24,0
Japan,2020-01-25,0
Japan,2020-01-26,0
Japan,2020-01-27,0
Japan,2020-01-28,0
Japan,2020-01-29,0
Japan,2020-01-30,0
Japan,2020-01-31,0
Japan,2020-02-01,0
Japan,2020-02-02,0
Japan,2020-02-03,0
Japan,2020-02-04,0
Japan,2020-02-05,0
Japan,2020-02-06,0
Japan,2020-02-07,0
Japan,2020-02-08,0
Japan,2020-02-09,0
Japan,2020-02-10,0
Japan,2020-02-11,0
Japan,2020-02-12,0
Japan,2020-02-13,1
Japan,2020-02-14,1
Japan,2020-02-15,1
Japan,2020-02-16,1
Japan,2020-02-17,1
Japan,2020-02-18,1
Japan,2020-02-19,1
Japan,2020-02-20,1
Japan,2020-02-21,1
Japan,2020-02-22,1
Japan,2020-02-23,1
Japan,2020-02-24,1
Japan,2020-02-25,1
Japan,2020-02-26,2
Japan,2020-02-27,4
Japan,2020-02-28,4
Japan,2020-02-29,5
Japan,2020-03-01,6
Japan,2020-03-02,6
Japan,2020-03-03,6
Japan,2020-03-04,6
Japan,2020-03-05,6
Japan,2020-03-06,6
Japan,2020-03-07,6
Japan,2020-03-08,6
Japan,2020-03-09,10
Japan,2020-03-10,10
Japan,2020-03-11,15
Japan,2020-03-12,16
Japan,2020-03-13,19
Japan,2020-03-14,22
Japan,2020-03-15,22
Japan,2020-03-16,27
Japan,2020-03-17,29
Japan,2020-03-18,29
Japan,2020-03-19,29
Japan,2020-03-20,33
