Country/Region,Date,all_cases
Spain,2020-01-22,0
Spain,2020-01-23,0
Spain,2020-01-24,0
Spain,2020-01-25,0
Spain,2020-01-26,0
Spain,2020-01-27,0
Spain,2020-01-28,0
Spain,2020-01-29,0
Spain,2020-01-30,0
Spain,2020-01-31,0
Spain,2020-02-01,0
Spain,2020-02-02,0
Spain,2020-02-03,0
Spain,2020-02-04,0
Spain,2020-02-05,0
Spain,2020-02-06,0
Spain,2020-02-07,0
Spain,2020-02-08,0
Spain,2020-02-09,0
Spain,2020-02-10,0
Spain,2020-02-11,0
Spain,2020-02-12,0
Spain,2020-02-13,0
Spain,2020-02-14,0
Spain,2020-02-15,0
Spain,2020-02-16,0
Spain,2020-02-17,0
Spain,2020-02-18,0
Spain,2020-02-19,0
Spain,2020-02-20,0
Spain,2020-02-21,0
Spain,2020-02-22,0
Spain,2020-02-23,0
Spain,2020-02-24,0
Spain,2020-02-25,0
Spain,2020-02-26,0
Spain,2020-02-27,0
Spain,2020-02-28,0
Spain,2020-02-29,0
Spain,2020-03-01,0
Spain,2020-03-02,0
Spain,2020-03-03,1
Spain,2020-03-04,2
Spain,2020-03-05,3
Spain,2020-03-06,5
Spain,2020-03-07,10
Spain,2020-03-08,17
Spain,2020-03-09,28
Spain,2020-03-10,35
Spain,2020-03-11,54
Spain,2020-03-12,55
Spain,2020-03-13,133
Spain,2020-03-14,195
Spain,2020-03-15,289
Spain,2020-03-16,342
Spain,2020-03-17,533
Spain,2020-03-18,623
Spain,2020-03-19,830
Spain,2020-03-20,1043
Spain,2020-03-21,1375
Spain,2020-03-22,1772
