Country/Region,Date,all_cases
Iran,2020-01-22,0
Iran,2020-01-23,0
Iran,2020-01-24,0
Iran,2020-01-25,0
Iran,2020-01-26,0
Iran,2020-01-27,0
Iran,2020-01-28,0
Iran,2020-01-29,0
Iran,2020-01-30,0
Iran,2020-01-31,0
Iran,2020-02-01,0
Iran,2020-02-02,0
Iran,2020-02-03,0
Iran,2020-02-04,0
Iran,2020-02-05,0
Iran,2020-02-06,0
Iran,2020-02-07,0
Iran,2020-02-08,0
Iran,2020-02-09,0
Iran,2020-02-10,0
Iran,2020-02-11,0
Iran,2020-02-12,0
Iran,2020-02-13,0
Iran,2020-02-14,0
Iran,2020-02-15,0
Iran,2020-02-16,0
Iran,2020-02-17,0
Iran,2020-02-18,0
Iran,2020-02-19,2
Iran,2020-02-20,5
Iran,2020-02-21,18
Iran,2020-02-22,28
Iran,2020-02-23,43
Iran,2020-02-24,61
Iran,2020-02-25,95
Iran,2020-02-26,139
Iran,2020-02-27,245
Iran,2020-02-28,388
Iran,2020-02-29,593
Iran,2020-03-01,978
Iran,2020-03-02,1501
Iran,2020-03-03,2336
Iran,2020-03-04,2922
Iran,2020-03-05,3513
Iran,2020-03-06,4747
Iran,2020-03-07,5823
Iran,2020-03-08,6566
Iran,2020-03-09,7161
Iran,2020-03-10,8042
Iran,2020-03-11,9000
Iran,2020-03-12,10075
Iran,2020-03-13,11364
Iran,2020-03-14,12729
Iran,2020-03-15,13938
Iran,2020-03-16,14991
Iran,2020-03-17,16169
