Country/Region,Date,all_cases
India,2020-01-22,0
India,2020-01-23,0
India,2020-01-24,0
India,2020-01-25,0
India,2020-01-26,0
India,2020-01-27,0
India,2020-01-28,0
India,2020-01-29,0
India,2020-01-30,1
India,2020-01-31,1
India,2020-02-01,1
India,2020-02-02,2
India,2020-02-03,3
India,2020-02-04,3
India,2020-02-05,3
India,2020-02-06,3
India,2020-02-07,3
India,2020-02-08,3
India,2020-02-09,3
India,2020-02-10,3
India,2020-02-11,3
India,2020-02-12,3
India,2020-02-13,3
India,2020-02-14,3
India,2020-02-15,3
India,2020-02-16,3
India,2020-02-17,3
India,2020-02-18,3
India,2020-02-19,3
India,2020-02-20,3
India,2020-02-21,3
India,2020-02-22,3
India,2020-02-23,3
India,2020-02-24,3
India,2020-02-25,3
India,2020-02-26,3
India,2020-02-27,3
India,2020-02-28,3
India,2020-02-29,3
India,2020-03-01,3
India,2020-03-02,5
India,2020-03-03,5
India,2020-03-04,28
India,2020-03-05,30
India,2020-03-06,31
India,2020-03-07,34
India,2020-03-08,39
India,2020-03-09,43
India,2020-03-10,56
India,2020-03-11,62
India,2020-03-12,73
India,2020-03-13,82
India,2020-03-14,102
India,2020-03-15,113
India,2020-03-16,119
India,2020-03-17,142
India,2020-03-18,156
India,2020-03-19,194
