Country/Region,Date,all_cases
Armenia,2020-01-22,0
Armenia,2020-01-23,0
Armenia,2020-01-24,0
Armenia,2020-01-25,0
Armenia,2020-01-26,0
Armenia,2020-01-27,0
Armenia,2020-01-28,0
Armenia,2020-01-29,0
Armenia,2020-01-30,0
Armenia,2020-01-31,0
Armenia,2020-02-01,0
Armenia,2020-02-02,0
Armenia,2020-02-03,0
Armenia,2020-02-04,0
Armenia,2020-02-05,0
Armenia,2020-02-06,0
Armenia,2020-02-07,0
Armenia,2020-02-08,0
Armenia,2020-02-09,0
Armenia,2020-02-10,0
Armenia,2020-02-11,0
Armenia,2020-02-12,0
Armenia,2020-02-13,0
Armenia,2020-02-14,0
Armenia,2020-02-15,0
Armenia,2020-02-16,0
Armenia,2020-02-17,0
Armenia,2020-02-18,0
Armenia,2020-02-19,0
Armenia,2020-02-20,0
Armenia,2020-02-21,0
Armenia,2020-02-22,0
Armenia,2020-02-23,0
Armenia,2020-02-24,0
Armenia,2020-02-25,0
Armenia,2020-02-26,0
Armenia,2020-02-27,0
Armenia,2020-02-28,0
Armenia,2020-02-29,0
Armenia,2020-03-01,1
Armenia,2020-03-02,1
Armenia,2020-03-03,1
Armenia,2020-03-04,1
Armenia,2020-03-05,1
Armenia,2020-03-06,1
Armenia,2020-03-07,1
Armenia,2020-03-08,1
Armenia,2020-03-09,1
Armenia,2020-03-10,1
Armenia,2020-03-11,1
Armenia,2020-03-12,4
Armenia,2020-03-13,8
Armenia,2020-03-14,18
Armenia,2020-03-15,26
Armenia,2020-03-16,52
Armenia,2020-03-17,78
Armenia,2020-03-18,84
Armenia,2020-03-19,115
Armenia,2020-03-20,136
