Country/Region,Date,all_cases
Cruise Ship,2020-01-22,0
Cruise Ship,2020-01-23,0
Cruise Ship,2020-01-24,0
Cruise Ship,2020-01-25,0
Cruise Ship,2020-01-26,0
Cruise Ship,2020-01-27,0
Cruise Ship,2020-01-28,0
Cruise Ship,2020-01-29,0
Cruise Ship,2020-01-30,0
Cruise Ship,2020-01-31,0
Cruise Ship,2020-02-01,0
Cruise Ship,2020-02-02,0
Cruise Ship,2020-02-03,0
Cruise Ship,2020-02-04,0
Cruise Ship,2020-02-05,0
Cruise Ship,2020-02-06,0
Cruise Ship,2020-02-07,61
Cruise Ship,2020-02-08,61
Cruise Ship,2020-02-09,64
Cruise Ship,2020-02-10,135
Cruise Ship,2020-02-11,135
Cruise Ship,2020-02-12,175
Cruise Ship,2020-02-13,175
Cruise Ship,2020-02-14,218
Cruise Ship,2020-02-15,285
Cruise Ship,2020-02-16,355
Cruise Ship,2020-02-17,454
Cruise Ship,2020-02-18,542
Cruise Ship,2020-02-19,621
Cruise Ship,2020-02-20,634
Cruise Ship,2020-02-21,634
Cruise Ship,2020-02-22,634
Cruise Ship,2020-02-23,691
Cruise Ship,2020-02-24,691
Cruise Ship,2020-02-25,691
Cruise Ship,2020-02-26,705
Cruise Ship,2020-02-27,705
Cruise Ship,2020-02-28,705
Cruise Ship,2020-02-29,705
Cruise Ship,2020-03-01,705
Cruise Ship,2020-03-02,705
Cruise Ship,2020-03-03,706
Cruise Ship,2020-03-04,706
Cruise Ship,2020-03-05,706
Cruise Ship,2020-03-06,696
Cruise Ship,2020-03-07,696
Cruise Ship,2020-03-08,696
Cruise Ship,2020-03-09,696
Cruise Ship,2020-03-10,696
Cruise Ship,2020-03-11,696
Cruise Ship,2020-03-12,696
Cruise Ship,2020-03-13,696
Cruise Ship,2020-03-14,696
Cruise Ship,2020-03-15,696
Cruise Ship,2020-03-16,696
Cruise Ship,2020-03-17,696
Cruise Ship,2020-03-18,712
