Country/Region,Date,all_cases
Kuwait,2020-01-22,0
Kuwait,2020-01-23,0
Kuwait,2020-01-24,0
Kuwait,2020-01-25,0
Kuwait,2020-01-26,0
Kuwait,2020-01-27,0
Kuwait,2020-01-28,0
Kuwait,2020-01-29,0
Kuwait,2020-01-30,0
Kuwait,2020-01-31,0
Kuwait,2020-02-01,0
Kuwait,2020-02-02,0
Kuwait,2020-02-03,0
Kuwait,2020-02-04,0
Kuwait,2020-02-05,0
Kuwait,2020-02-06,0
Kuwait,2020-02-07,0
Kuwait,2020-02-08,0
Kuwait,2020-02-09,0
Kuwait,2020-02-10,0
Kuwait,2020-02-11,0
Kuwait,2020-02-12,0
Kuwait,2020-02-13,0
Kuwait,2020-02-14,0
Kuwait,2020-02-15,0
Kuwait,2020-02-16,0
Kuwait,2020-02-17,0
Kuwait,2020-02-18,0
Kuwait,2020-02-19,0
Kuwait,2020-02-20,0
Kuwait,2020-02-21,0
Kuwait,2020-02-22,0
Kuwait,2020-02-23,0
Kuwait,2020-02-24,1
Kuwait,2020-02-25,11
Kuwait,2020-02-26,26
Kuwait,2020-02-27,43
Kuwait,2020-02-28,45
Kuwait,2020-02-29,45
Kuwait,2020-03-01,45
Kuwait,2020-03-02,56
Kuwait,2020-03-03,56
Kuwait,2020-03-04,56
Kuwait,2020-03-05,58
Kuwait,2020-03-06,58
Kuwait,2020-03-07,61
Kuwait,2020-03-08,64
Kuwait,2020-03-09,64
Kuwait,2020-03-10,69
Kuwait,2020-03-11,72
Kuwait,2020-03-12,80
Kuwait,2020-03-13,80
Kuwait,2020-03-14,104
Kuwait,2020-03-15,112
Kuwait,2020-03-16,123
Kuwait,2020-03-17,130
Kuwait,2020-03-18,142
Kuwait,2020-03-19,148
Kuwait,2020-03-20,159
