Country/Region,Date,all_cases
Monaco,2020-01-22,0
Monaco,2020-01-23,0
Monaco,2020-01-24,0
Monaco,2020-01-25,0
Monaco,2020-01-26,0
Monaco,2020-01-27,0
Monaco,2020-01-28,0
Monaco,2020-01-29,0
Monaco,2020-01-30,0
Monaco,2020-01-31,0
Monaco,2020-02-01,0
Monaco,2020-02-02,0
Monaco,2020-02-03,0
Monaco,2020-02-04,0
Monaco,2020-02-05,0
Monaco,2020-02-06,0
Monaco,2020-02-07,0
Monaco,2020-02-08,0
Monaco,2020-02-09,0
Monaco,2020-02-10,0
Monaco,2020-02-11,0
Monaco,2020-02-12,0
Monaco,2020-02-13,0
Monaco,2020-02-14,0
Monaco,2020-02-15,0
Monaco,2020-02-16,0
Monaco,2020-02-17,0
Monaco,2020-02-18,0
Monaco,2020-02-19,0
Monaco,2020-02-20,0
Monaco,2020-02-21,0
Monaco,2020-02-22,0
Monaco,2020-02-23,0
Monaco,2020-02-24,0
Monaco,2020-02-25,0
Monaco,2020-02-26,0
Monaco,2020-02-27,0
Monaco,2020-02-28,0
Monaco,2020-02-29,1
Monaco,2020-03-01,1
Monaco,2020-03-02,1
Monaco,2020-03-03,1
Monaco,2020-03-04,1
Monaco,2020-03-05,1
Monaco,2020-03-06,1
Monaco,2020-03-07,1
Monaco,2020-03-08,1
Monaco,2020-03-09,1
Monaco,2020-03-10,1
Monaco,2020-03-11,1
Monaco,2020-03-12,2
Monaco,2020-03-13,2
Monaco,2020-03-14,2
Monaco,2020-03-15,2
Monaco,2020-03-16,7
Monaco,2020-03-17,7
Monaco,2020-03-18,7
Monaco,2020-03-19,7
Monaco,2020-03-20,11
Monaco,2020-03-21,11
Monaco,2020-03-22,23
Monaco,2020-03-23,23
