Country/Region,Date,all_cases
Sweden,2020-01-22,0
Sweden,2020-01-23,0
Sweden,2020-01-24,0
Sweden,2020-01-25,0
Sweden,2020-01-26,0
Sweden,2020-01-27,0
Sweden,2020-01-28,0
Sweden,2020-01-29,0
Sweden,2020-01-30,0
Sweden,2020-01-31,1
Sweden,2020-02-01,1
Sweden,2020-02-02,1
Sweden,2020-02-03,1
Sweden,2020-02-04,1
Sweden,2020-02-05,1
Sweden,2020-02-06,1
Sweden,2020-02-07,1
Sweden,2020-02-08,1
Sweden,2020-02-09,1
Sweden,2020-02-10,1
Sweden,2020-02-11,1
Sweden,2020-02-12,1
Sweden,2020-02-13,1
Sweden,2020-02-14,1
Sweden,2020-02-15,1
Sweden,2020-02-16,1
Sweden,2020-02-17,1
Sweden,2020-02-18,1
Sweden,2020-02-19,1
Sweden,2020-02-20,1
Sweden,2020-02-21,1
Sweden,2020-02-22,1
Sweden,2020-02-23,1
Sweden,2020-02-24,1
Sweden,2020-02-25,1
Sweden,2020-02-26,2
Sweden,2020-02-27,7
Sweden,2020-02-28,7
Sweden,2020-02-29,12
Sweden,2020-03-01,14
Sweden,2020-03-02,15
Sweden,2020-03-03,21
Sweden,2020-03-04,35
Sweden,2020-03-05,94
Sweden,2020-03-06,101
Sweden,2020-03-07,161
Sweden,2020-03-08,203
Sweden,2020-03-09,248
Sweden,2020-03-10,355
Sweden,2020-03-11,500
Sweden,2020-03-12,599
Sweden,2020-03-13,814
Sweden,2020-03-14,961
Sweden,2020-03-15,1022
Sweden,2020-03-16,1103
Sweden,2020-03-17,1190
Sweden,2020-03-18,1279
Sweden,2020-03-19,1439
Sweden,2020-03-20,1639
