Country/Region,Date,all_cases
Australia,2020-01-22,0
Australia,2020-01-23,0
Australia,2020-01-24,0
Australia,2020-01-25,0
Australia,2020-01-26,4
Australia,2020-01-27,5
Australia,2020-01-28,5
Australia,2020-01-29,6
Australia,2020-01-30,9
Australia,2020-01-31,9
Australia,2020-02-01,12
Australia,2020-02-02,12
Australia,2020-02-03,12
Australia,2020-02-04,13
Australia,2020-02-05,13
Australia,2020-02-06,14
Australia,2020-02-07,15
Australia,2020-02-08,15
Australia,2020-02-09,15
Australia,2020-02-10,15
Australia,2020-02-11,15
Australia,2020-02-12,15
Australia,2020-02-13,15
Australia,2020-02-14,15
Australia,2020-02-15,15
Australia,2020-02-16,15
Australia,2020-02-17,15
Australia,2020-02-18,15
Australia,2020-02-19,15
Australia,2020-02-20,15
Australia,2020-02-21,19
Australia,2020-02-22,22
Australia,2020-02-23,22
Australia,2020-02-24,22
Australia,2020-02-25,22
Australia,2020-02-26,22
Australia,2020-02-27,23
Australia,2020-02-28,23
Australia,2020-02-29,25
Australia,2020-03-01,27
Australia,2020-03-02,30
Australia,2020-03-03,39
Australia,2020-03-04,52
Australia,2020-03-05,55
Australia,2020-03-06,60
Australia,2020-03-07,63
Australia,2020-03-08,76
Australia,2020-03-09,91
Australia,2020-03-10,107
Australia,2020-03-11,128
Australia,2020-03-12,128
Australia,2020-03-13,200
Australia,2020-03-14,250
Australia,2020-03-15,297
Australia,2020-03-16,377
Australia,2020-03-17,452
Australia,2020-03-18,568
Australia,2020-03-19,681
Australia,2020-03-20,791
