Country/Region,Date,all_cases
Finland,2020-01-22,0
Finland,2020-01-23,0
Finland,2020-01-24,0
Finland,2020-01-25,0
Finland,2020-01-26,0
Finland,2020-01-27,0
Finland,2020-01-28,0
Finland,2020-01-29,1
Finland,2020-01-30,1
Finland,2020-01-31,1
Finland,2020-02-01,1
Finland,2020-02-02,1
Finland,2020-02-03,1
Finland,2020-02-04,1
Finland,2020-02-05,1
Finland,2020-02-06,1
Finland,2020-02-07,1
Finland,2020-02-08,1
Finland,2020-02-09,1
Finland,2020-02-10,1
Finland,2020-02-11,1
Finland,2020-02-12,1
Finland,2020-02-13,1
Finland,2020-02-14,1
Finland,2020-02-15,1
Finland,2020-02-16,1
Finland,2020-02-17,1
Finland,2020-02-18,1
Finland,2020-02-19,1
Finland,2020-02-20,1
Finland,2020-02-21,1
Finland,2020-02-22,1
Finland,2020-02-23,1
Finland,2020-02-24,1
Finland,2020-02-25,1
Finland,2020-02-26,2
Finland,2020-02-27,2
Finland,2020-02-28,2
Finland,2020-02-29,3
Finland,2020-03-01,6
Finland,2020-03-02,6
Finland,2020-03-03,6
Finland,2020-03-04,6
Finland,2020-03-05,12
Finland,2020-03-06,15
Finland,2020-03-07,15
Finland,2020-03-08,23
Finland,2020-03-09,30
Finland,2020-03-10,40
Finland,2020-03-11,59
Finland,2020-03-12,59
Finland,2020-03-13,155
Finland,2020-03-14,225
