Country/Region,Date,all_cases
Iran,2020-01-22,0
Iran,2020-01-23,0
Iran,2020-01-24,0
Iran,2020-01-25,0
Iran,2020-01-26,0
Iran,2020-01-27,0
Iran,2020-01-28,0
Iran,2020-01-29,0
Iran,2020-01-30,0
Iran,2020-01-31,0
Iran,2020-02-01,0
Iran,2020-02-02,0
Iran,2020-02-03,0
Iran,2020-02-04,0
Iran,2020-02-05,0
Iran,2020-02-06,0
Iran,2020-02-07,0
Iran,2020-02-08,0
Iran,2020-02-09,0
Iran,2020-02-10,0
Iran,2020-02-11,0
Iran,2020-02-12,0
Iran,2020-02-13,0
Iran,2020-02-14,0
Iran,2020-02-15,0
Iran,2020-02-16,0
Iran,2020-02-17,0
Iran,2020-02-18,0
Iran,2020-02-19,0
Iran,2020-02-20,0
Iran,2020-02-21,0
Iran,2020-02-22,0
Iran,2020-02-23,0
Iran,2020-02-24,0
Iran,2020-02-25,0
Iran,2020-02-26,49
Iran,2020-02-27,49
Iran,2020-02-28,73
Iran,2020-02-29,123
Iran,2020-03-01,175
Iran,2020-03-02,291
Iran,2020-03-03,291
Iran,2020-03-04,552
Iran,2020-03-05,739
Iran,2020-03-06,913
Iran,2020-03-07,1669
Iran,2020-03-08,2134
Iran,2020-03-09,2394
Iran,2020-03-10,2731
Iran,2020-03-11,2959
Iran,2020-03-12,2959
Iran,2020-03-13,2959
Iran,2020-03-14,2959
Iran,2020-03-15,4590
