Country/Region,Date,all_cases
Cruise Ship,2020-01-22,0
Cruise Ship,2020-01-23,0
Cruise Ship,2020-01-24,0
Cruise Ship,2020-01-25,0
Cruise Ship,2020-01-26,0
Cruise Ship,2020-01-27,0
Cruise Ship,2020-01-28,0
Cruise Ship,2020-01-29,0
Cruise Ship,2020-01-30,0
Cruise Ship,2020-01-31,0
Cruise Ship,2020-02-01,0
Cruise Ship,2020-02-02,0
Cruise Ship,2020-02-03,0
Cruise Ship,2020-02-04,0
Cruise Ship,2020-02-05,0
Cruise Ship,2020-02-06,0
Cruise Ship,2020-02-07,0
Cruise Ship,2020-02-08,0
Cruise Ship,2020-02-09,0
Cruise Ship,2020-02-10,0
Cruise Ship,2020-02-11,0
Cruise Ship,2020-02-12,0
Cruise Ship,2020-02-13,0
Cruise Ship,2020-02-14,0
Cruise Ship,2020-02-15,0
Cruise Ship,2020-02-16,0
Cruise Ship,2020-02-17,0
Cruise Ship,2020-02-18,0
Cruise Ship,2020-02-19,1
Cruise Ship,2020-02-20,1
Cruise Ship,2020-02-21,1
Cruise Ship,2020-02-22,1
Cruise Ship,2020-02-23,0
Cruise Ship,2020-02-24,0
Cruise Ship,2020-02-25,0
Cruise Ship,2020-02-26,10
Cruise Ship,2020-02-27,10
Cruise Ship,2020-02-28,10
Cruise Ship,2020-02-29,10
Cruise Ship,2020-03-01,10
Cruise Ship,2020-03-02,10
Cruise Ship,2020-03-03,10
Cruise Ship,2020-03-04,10
Cruise Ship,2020-03-05,10
Cruise Ship,2020-03-06,40
Cruise Ship,2020-03-07,40
Cruise Ship,2020-03-08,40
Cruise Ship,2020-03-09,40
Cruise Ship,2020-03-10,40
Cruise Ship,2020-03-11,325
Cruise Ship,2020-03-12,325
Cruise Ship,2020-03-13,325
Cruise Ship,2020-03-14,325
Cruise Ship,2020-03-15,325
Cruise Ship,2020-03-16,325
Cruise Ship,2020-03-17,325
Cruise Ship,2020-03-18,325
Cruise Ship,2020-03-19,325
Cruise Ship,2020-03-20,325
Cruise Ship,2020-03-21,325
