Country/Region,Date,all_cases
India,2020-01-22,0
India,2020-01-23,0
India,2020-01-24,0
India,2020-01-25,0
India,2020-01-26,0
India,2020-01-27,0
India,2020-01-28,0
India,2020-01-29,0
India,2020-01-30,0
India,2020-01-31,0
India,2020-02-01,0
India,2020-02-02,0
India,2020-02-03,0
India,2020-02-04,0
India,2020-02-05,0
India,2020-02-06,0
India,2020-02-07,0
India,2020-02-08,0
India,2020-02-09,0
India,2020-02-10,0
India,2020-02-11,0
India,2020-02-12,0
India,2020-02-13,0
India,2020-02-14,0
India,2020-02-15,0
India,2020-02-16,3
India,2020-02-17,3
India,2020-02-18,3
India,2020-02-19,3
India,2020-02-20,3
India,2020-02-21,3
India,2020-02-22,3
India,2020-02-23,3
India,2020-02-24,3
India,2020-02-25,3
India,2020-02-26,3
India,2020-02-27,3
India,2020-02-28,3
India,2020-02-29,3
India,2020-03-01,3
India,2020-03-02,3
India,2020-03-03,3
India,2020-03-04,3
India,2020-03-05,3
India,2020-03-06,3
India,2020-03-07,3
India,2020-03-08,3
India,2020-03-09,3
India,2020-03-10,4
India,2020-03-11,4
India,2020-03-12,4
India,2020-03-13,4
India,2020-03-14,4
India,2020-03-15,13
India,2020-03-16,13
